Category,Rank,Title,Price,Rating,Number of Reviews
Home & Kitchen,5,"Atom 10Kg Kitchen Weight Machine 6 Months Manufacturer Warranty, Digital Scale with LCD Display, Scale for Home Baking, Cooking & Balance Diet. Machine with capacity 10Kg, SF400/A121,Color May Vary",215.0,4.0,19449.0
Home & Kitchen,6,Orpat OEH-1220 2000-Watt Fan Heater (White),,4.1,55412.0
Home & Kitchen,7,"Trance 100% Waterproof Premium Cotton Feel Mattress Protector King Size 78x72 Inches | Breathable and Hypoallergenic Ultra Soft Fitted Bed Protector Cover (78""x72"" King, Grey)",575.0,4.2,37254.0
Home & Kitchen,8,"Ganga Acrowools Acrylic Desire Hand Knitting and Crochet Yarn. Pack of 1 Ball - 100Gms. Shade No - Dsr004, Cream",176.0,4.4,3176.0
Home & Kitchen,9,"Milton Aura 1000 Thermosteel Water Bottle, 24 Hr Hot and Cold I Leak Proof Lid, ISI Certified I Vacuum Insulated I for Office, Gym, School I Grey",956.0,4.1,21270.0
Home & Kitchen,10,"NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (2 Jars & 1 Blade, Silver) - 2 Year Warranty",,4.4,24458.0
Home & Kitchen,11,"One94Store Astronaut Galaxy Projector Night Light – 360° Rotating Nebula Star Projector with Remote Control, Timer & Adjustable Head – Space Lamp for Kids’ Bedroom, Gifts, Gaming Room, Home & Décor",699.0,4.1,5117.0
Home & Kitchen,12,"Ezee Live Life Ezee Way Plastic Black Garbage Bags for Dustbin|90 Pcs|Medium 19 X 21 Inches|30 Pcs X Pack of 3, 3 count",137.0,4.2,38357.0
Home & Kitchen,13,"Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel",259.0,4.0,14741.0
Home & Kitchen,14,Amazon Brand - Presto! Garbage Bags | Large | 90 Count | 15 Bags X 6 Rolls | 24 X 32 Inches | For Dry & Wet Waste | Black,329.0,4.4,16364.0
Home & Kitchen,15,"Milton Rapid Electric Kettle 1.8L | 1500 Watts | Stainless Steel Hot Water portable Electric Kettle for Home, Office | Auto Shut-Off with Wide Mouth | Cool-touch Handle and Single-Touch Lid Lock",636.0,3.8,3130.0
Home & Kitchen,16,"Milton Flip Lid 1000 Thermosteel Water Bottle 1 LTR, 24 Hr Hot and Cold I Leak Proof Lid, ISI Certified I Vacuum Insulated I for Office, Gym, School I Silver",978.0,4.2,156288.0
Home & Kitchen,17,"Amazon Brand - Solimo 2000/1000 Watts Room Heater with Adjustable Thermostat (ISI certified, White colour, Ideal for small to medium room/area)",,3.9,30014.0
Home & Kitchen,18,"PEXPO Craft Pro 1000 ISI Certified Stainless Steel Sports/Fridge Water Bottle with Sipper Cap - 950ml | Single Wall | For Home, Office, Gym, Travelling | Lightweight| BPA Free - Pink&Purple Ombre",299.0,4.1,3397.0
