Category,Rank,Title,Price,Rating,Number of Reviews
Electronics,#4,"Ambrane Unbreakable 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets & other Type C devices, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",₹149.00,4.0 out of 5 stars,"85,430"
Electronics,#5,"Fire-Boltt Aero TWS Ear Buds Custom EQ, Wireless Bluetooth 5.4, 50H Playtime, 50ms Low Latency, Fast Charging Case, App Support, Touch Controls, IPX4 Waterproof, Gaming & Music",₹699.00,4.1 out of 5 stars,"7,514"
Electronics,#6,"Samsung Original 25W USB Type-C Travel Adaptor Without Cable for Google Pixel, Xiaomi, Motorola, iPhone, Samsung Galaxy Tab S/A Series, Galaxy S10/M54/M55/A80/A90/S25/S24, White",₹925.00,4.4 out of 5 stars,"49,962"
Electronics,#7,"boAt 2025 Launch Rockerz 113, 40H Battery, Dual Pair, Fast Charge, ENx Tech, Stream Ad Free Music via App Support, Magnetic Buds, Bluetooth Neckband, Wireless with Mic in Ear Earphones (Active Black)",₹799.00,4.0 out of 5 stars,"5,780"
Electronics,#8,"OnePlus Nord Buds 3 Pro Truly Wireless Bluetooth Earbuds with Upto 49dB Active Noise Cancellation,12.4mm Dynamic Drivers,10mins for 11Hrs Fast Charging with Upto 44Hrs Music Playback [Starry Black]","₹2,999.00",4.2 out of 5 stars,"15,068"
Electronics,#9,"iQOO Z10x 5G (Ultramarine, 6GB RAM, 128GB Storage) | 6500 mAh Large Capacity Battery | Dimensity 7300 Processor | Military-Grade Durability","₹14,999.00",4.4 out of 5 stars,"9,025"
Electronics,#10,Boat BassHeads 100 in-Ear Headphones with Mic (Black),₹349.00,4.1 out of 5 stars,"430,136"
Electronics,#11,"YATWIN Silicone Back Case for iPhone 12/12 Pro, Soft-Touch Phone Back Cover for Apple iPhone 12/12 Pro - Black",₹299.00,4.0 out of 5 stars,"7,082"
Electronics,#12,"boAt Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, in Ear Bluetooth Neckband, Wireless with Mic Earphones (Active Black)","₹1,099.00",3.9 out of 5 stars,"246,090"
Electronics,#13,"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display","₹25,999.00",4.3 out of 5 stars,"4,791"
Electronics,#14,"Ambrane Magsafe Wireless 10000Mah Fast Charging USB Type-C Input Power Bank, Strong Magnet, 22.5W Output For iPhone 12 & Above, Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap, Blue)","₹1,259.00",3.9 out of 5 stars,"5,819"
